,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
1,0,0,0,0,0,1,0,0,0,0,0.16907709712502061,0.15848586475774337,0.1614973200491523,0.18929358167069785,,,,,0.16958846590065355,0.0138718837805632
2,0,0,0,0,1,0,0,0,0,0,0.11254184412835817,0.13750961622656674,0.16188724798024515,0.12411551706063224,,,,,0.1340135563489506,0.021198826439698722
3,0,1,0,0,0,0,0,0,0,0,,,0.18459240364749946,0.18214034048631567,,,0.1989777345919222,,0.18857015957524578,0.00909622815965052
4,0,0,1,0,0,0,0,0,0,0,0.23497771705990203,,0.16297594898055395,,,,,,0.198976833020228,0.05091293846632813
5,0,0,0,0,0,0,0,0,0,1,0.06754159193967112,0.07002718815428027,0.07735580712718437,0.07673421479637542,0.0641982081156855,0.06157616136977342,0.08236067244765968,0.07610835123157915,0.07198777439777611,0.0072566433091627025
6,0,0,0,0,0,0,1,0,0,0,0.12515085406073634,0.09256339423987578,0.09766310563732349,0.08364797575657375,0.07780041398201623,0.080147070482657,,0.08995558036518486,0.09241834207490962,0.016053028658558434
7,0,0,0,0,0,0,0,1,0,0,0.11577639558891356,0.08805170890958468,0.0998163523238248,,0.08340498706832927,0.06836581253194872,0.07335135440576486,,0.08812776847139432,0.017505755272986766
8,1,0,0,0,0,0,0,0,0,0,,0.09450315817426856,0.09079630317224525,0.08937988825686753,0.08047676838573026,0.10407855462509255,0.08066192902580371,,0.0899827669400013,0.008915071499638213
9,0,0,0,1,0,0,0,0,0,0,0.28754442770100286,0.16853043983176577,0.16027961503698593,,,,,0.17905586203324722,0.19885258615075044,0.059625105733778626
10,0,0,0,0,0,0,0,0,1,0,0.09355529601287406,,,0.11584235354471335,0.0976753432982313,0.11447762894894517,,,0.10538765545119097,0.011422387652307945
