,EX_rib__D_e_i,EX_malt_e_i,EX_melib_e_i,EX_tre_e_i,EX_fru_e_i,EX_gal_e_i,EX_ac_e_i,EX_lac__D_e_i,EX_succ_e_i,EX_pyr_e_i,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_AVG,GR_STD
0,0,0,0,0,0,1,0,0,0,0,0.1690770971250206,0.1584858647577433,0.1614973200491523,0.1892935816706978,,,,,0.1695884659006535,0.0138718837805632
1,0,0,0,0,1,0,0,0,0,0,0.1125418441283581,0.1375096162265667,0.1618872479802451,0.1241155170606322,,,,,0.1340135563489506,0.0211988264396987
2,0,1,0,0,0,0,0,0,0,0,,,0.1845924036474994,0.1821403404863156,,,0.1989777345919222,,0.1885701595752457,0.0090962281596505
3,0,0,1,0,0,0,0,0,0,0,0.234977717059902,,0.1629759489805539,,,,,,0.198976833020228,0.0509129384663281
4,0,0,0,0,0,0,0,0,0,1,0.0675415919396711,0.0700271881542802,0.0773558071271843,0.0767342147963754,0.0641982081156855,0.0615761613697734,0.0823606724476596,0.0761083512315791,0.0719877743977761,0.0072566433091627
5,0,0,0,0,0,0,1,0,0,0,0.1251508540607363,0.0925633942398757,0.0976631056373234,0.0836479757565737,0.0778004139820162,0.080147070482657,,0.0899555803651848,0.0924183420749096,0.0160530286585584
6,0,0,0,0,0,0,0,1,0,0,0.1157763955889135,0.0880517089095846,0.0998163523238248,,0.0834049870683292,0.0683658125319487,0.0733513544057648,,0.0881277684713943,0.0175057552729867
7,1,0,0,0,0,0,0,0,0,0,,0.0945031581742685,0.0907963031722452,0.0893798882568675,0.0804767683857302,0.1040785546250925,0.0806619290258037,,0.0899827669400013,0.0089150714996382
8,0,0,0,1,0,0,0,0,0,0,0.2875444277010028,0.1685304398317657,0.1602796150369859,,,,,0.1790558620332472,0.1988525861507504,0.0596251057337786
9,0,0,0,0,0,0,0,0,1,0,0.093555296012874,,,0.1158423535447133,0.0976753432982313,0.1144776289489451,,,0.1053876554511909,0.0114223876523079
10,0,0,1,0,0,1,0,0,0,0,,0.2088579103093392,0.2700147613437015,,0.2867232394225918,,,0.3066576392529052,0.2680633875821344,0.0422169110325527
11,0,0,0,0,0,0,0,0,1,1,,,,,,0.1637286630088172,0.1469840280943291,0.1619833931553932,0.1575653614195132,0.0092051590382408
12,0,0,1,0,0,0,0,1,0,0,0.0962883677557928,0.1254589829026557,0.1748095134044444,,,,0.0871326618657498,,0.1209223814821607,0.0394672164514828
