EX_glc__D_e_i,EX_ala__L_e_i,EX_arg__L_e_i,EX_asn__L_e_i,EX_asp__L_e_i,EX_glu__L_e_i,EX_gln__L_e_i,EX_gly_e_i,EX_his__L_e_i,EX_ile__L_e_i,EX_leu__L_e_i,EX_lys__L_e_i,EX_met__L_e_i,EX_phe__L_e_i,EX_pro__L_e_i,EX_ser__L_e_i,EX_thr__L_e_i,EX_trp__L_e_i,EX_tyr__L_e_i,EX_val__L_e_i,EX_thm_e_i,EX_pydxn_e_i,EX_cys__L_e_i,EX_cl_e_i,EX_nh4_e_i,EX_so4_e_i,EX_pi_e_i,EX_k_e_i,EX_na1_e_i,EX_mg2_e_i,EX_ca2_e_i,EX_fe2_e_i,EX_zn2_e_i,EX_cu2_e_i,EX_mobd_e_i,EX_cit_e_i,EX_tsul_e_i,GR_AVG
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,64.36149999999999,22.323,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,0.0
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,95.05,83.7,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.3519570080833334
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,125.8,145.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2124776922457787
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,156.55,206.7,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.3166414475000001
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,187.3,268.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.206139122
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,103.8385,123.2385,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2096604045000001
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,114.8,134.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1866553634817392
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,142.3,161.7,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.2630026046111111
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,180.8,200.2,85.76199999999999,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.3025191496666666
2.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.001,0.002,0.04,1.56,3.0,1.10561,83.5,145.2,1.162,0.2,0.015,0.0005,0.0001,1e-05,0.001,0.02,0.5,1.1614140076666668
